                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                 1.1109,                0.93416,                 1.7934,                 0.9018,                0.79958,                0.92228,                0.75203,                 1.4519,                 1.1532,                 1.3443,              0.0006964,              0.0006964,              0.0006964
                     94,                 1.1321,                0.99197,                 1.7826,                0.74025,                0.72245,                0.77575,                0.64078,                 1.2072,                 1.1182,                 1.3336,              0.0006931,              0.0006931,              0.0006931
                     95,                 1.0581,                0.92101,                  1.775,                0.76625,                 0.8246,                0.85833,                0.72552,                 1.2264,                 1.0507,                 1.3403,              0.0006898,              0.0006898,              0.0006898
                     96,                 1.1396,                0.91418,                 1.7946,                0.91259,                0.76144,                0.87592,                0.74816,                 1.2532,                  0.976,                 1.3423,              0.0006865,              0.0006865,              0.0006865
                     97,                 1.0769,                0.89333,                 1.7821,                0.90211,                0.82752,                0.90872,                 0.7855,                 1.1449,                 0.9065,                   1.34,              0.0006832,              0.0006832,              0.0006832
                     98,                  1.137,                0.91398,                 1.7959,                0.88202,                0.79865,                0.89608,                 0.7472,                 1.3279,                0.99128,                 1.3664,              0.0006799,              0.0006799,              0.0006799
                     99,                 1.0532,                0.87823,                 1.7925,                0.93658,                0.82185,                 0.8853,                0.74593,                 1.1866,                0.99134,                 1.3586,              0.0006766,              0.0006766,              0.0006766
                    100,                 1.0923,                0.88518,                  1.774,                0.91543,                0.78383,                 0.9024,                0.73964,                 1.2937,                0.94669,                 1.3362,              0.0006733,              0.0006733,              0.0006733
                    101,                 1.0744,                0.91407,                 1.7692,                0.80485,                0.82359,                 0.8701,                0.73493,                 1.1207,                  1.085,                 1.3239,                0.00067,                0.00067,                0.00067
                    102,                 1.0986,                 0.9424,                 1.7752,                0.85346,                0.86311,                0.91453,                0.76292,                 1.1989,                 1.1545,                 1.3417,              0.0006667,              0.0006667,              0.0006667
                    103,                 1.1066,                0.89767,                 1.7807,                0.97015,                0.73987,                0.87211,                0.77167,                 1.0868,                0.95423,                 1.3598,              0.0006634,              0.0006634,              0.0006634
                    104,                 1.0423,                 0.8568,                 1.7782,                0.91967,                0.78079,                0.89072,                0.78143,                 1.1352,                  1.466,                 1.3362,              0.0006601,              0.0006601,              0.0006601
                    105,                 1.1048,                0.88744,                 1.7806,                0.86579,                0.87414,                0.92589,                0.79155,                 1.1712,                0.90498,                 1.4268,              0.0006568,              0.0006568,              0.0006568
                    106,                 1.1537,                0.94156,                  1.776,                0.84388,                0.84255,                0.90373,                0.80554,                 1.0268,                0.95105,                 1.3235,              0.0006535,              0.0006535,              0.0006535
                    107,                 1.0577,                0.89682,                 1.7854,                 0.8396,                0.81528,                0.89297,                0.76984,                 1.1225,                0.91366,                 1.3968,              0.0006502,              0.0006502,              0.0006502
                    108,                 1.0804,                 0.8801,                 1.7788,                0.90271,                0.81871,                0.89705,                0.80259,                 1.0277,                 0.9416,                 1.3146,              0.0006469,              0.0006469,              0.0006469
