                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                 1.0819,                0.88251,                 1.7026,                0.83553,                 0.8774,                0.90593,                0.78748,                 1.1502,                0.79442,                 1.4838,             0.00054904,             0.00054904,             0.00054904
                    122,                 1.0307,                0.88197,                 1.7186,                0.87056,                0.82658,                0.90452,                0.79541,                  1.151,                0.69751,                  1.495,             0.00054604,             0.00054604,             0.00054604
                    123,                 1.0317,                0.86374,                 1.7256,                0.90918,                0.82029,                0.90345,                0.78701,                 1.2213,                0.66097,                 1.4882,             0.00054304,             0.00054304,             0.00054304
                    124,                  1.071,                0.87253,                 1.7239,                0.87989,                0.83471,                 0.9019,                0.77693,                 1.2433,                0.75989,                 1.4896,             0.00054004,             0.00054004,             0.00054004
                    125,                 1.0672,                0.84623,                  1.717,                0.89197,                0.84285,                0.91578,                0.79412,                 1.2132,                0.70361,                 1.5025,             0.00053704,             0.00053704,             0.00053704
                    126,                 1.0033,                 0.8184,                 1.7042,                0.84234,                0.85691,                0.90857,                0.79159,                 1.1653,                0.64687,                 1.4728,             0.00053404,             0.00053404,             0.00053404
                    127,                   1.03,                0.85726,                 1.7141,                0.88531,                0.84688,                0.91392,                0.80227,                 1.1789,                0.66827,                 1.4718,             0.00053104,             0.00053104,             0.00053104
                    128,                 1.0375,                0.84482,                  1.697,                0.91401,                0.80322,                0.90762,                0.79228,                 1.1663,                0.63973,                 1.4715,             0.00052804,             0.00052804,             0.00052804
                    129,                 1.0116,                0.81546,                 1.7105,                0.91714,                0.80553,                0.90243,                0.79592,                 1.1543,                0.64619,                 1.4697,             0.00052504,             0.00052504,             0.00052504
                    130,                 1.0418,                0.85309,                 1.7006,                0.87235,                0.82706,                0.89565,                 0.7826,                 1.1937,                 0.7304,                 1.4632,             0.00052204,             0.00052204,             0.00052204
                    131,                 1.0206,                0.83168,                 1.7152,                0.89393,                 0.8123,                0.90174,                0.78767,                 1.1497,                 0.6908,                 1.4674,             0.00051904,             0.00051904,             0.00051904
                    132,                0.98718,                0.80061,                 1.7222,                0.92732,                  0.788,                0.89954,                0.78786,                 1.1726,                0.67356,                 1.4747,             0.00051604,             0.00051604,             0.00051604
                    133,                 1.0302,                0.85302,                 1.7009,                0.95093,                0.81782,                0.91189,                0.80303,                 1.1999,                0.63951,                 1.4908,             0.00051304,             0.00051304,             0.00051304
                    134,                 1.0044,                0.80296,                 1.7016,                0.94136,                0.78599,                 0.9089,                0.80274,                 1.1471,                0.64372,                  1.467,             0.00051004,             0.00051004,             0.00051004
                    135,                0.98742,                 0.8133,                 1.7092,                0.89826,                0.79254,                0.89343,                 0.7848,                  1.122,                0.63765,                 1.4703,             0.00050704,             0.00050704,             0.00050704
                    136,                 1.0128,                0.81178,                 1.7075,                0.93633,                0.78392,                0.89866,                0.78294,                 1.1621,                0.66504,                  1.476,             0.00050404,             0.00050404,             0.00050404
                    137,                 1.0075,                0.78941,                 1.7029,                0.93771,                 0.8054,                0.90781,                0.80473,                 1.1482,                0.62278,                 1.4847,             0.00050104,             0.00050104,             0.00050104
                    138,                0.98003,                0.75464,                  1.688,                0.89861,                0.82628,                0.90362,                0.79199,                  1.153,                0.63636,                 1.4628,             0.00049804,             0.00049804,             0.00049804
                    139,                 1.0151,                0.79242,                 1.7014,                0.93528,                0.78127,                0.89946,                0.78728,                 1.1938,                 0.6506,                 1.4709,             0.00049504,             0.00049504,             0.00049504
                    140,                 1.0017,                 0.8043,                 1.6986,                 0.9385,                0.78425,                0.89671,                0.79205,                 1.1703,                0.65747,                 1.4778,             0.00049204,             0.00049204,             0.00049204
                    141,                0.99171,                0.79823,                 1.6979,                0.93278,                0.85285,                0.91448,                0.81347,                 1.1539,                0.64519,                 1.4868,             0.00048904,             0.00048904,             0.00048904
                    142,                 1.0108,                0.79648,                 1.6853,                0.89367,                  0.826,                0.90886,                0.79001,                 1.1841,                0.69779,                 1.4779,             0.00048604,             0.00048604,             0.00048604
                    143,                0.98245,                0.79583,                 1.7075,                0.93297,                0.78804,                0.91258,                0.79813,                 1.2089,                0.65786,                 1.5093,             0.00048304,             0.00048304,             0.00048304
                    144,                0.98172,                0.79589,                 1.6899,                0.88567,                0.85647,                0.91206,                0.80486,                 1.1606,                0.60525,                  1.472,             0.00048004,             0.00048004,             0.00048004
                    145,                0.96022,                0.80746,                 1.6893,                0.94944,                0.77516,                0.90184,                0.79709,                 1.1408,                0.63086,                 1.4832,             0.00047704,             0.00047704,             0.00047704
                    146,                0.97076,                0.79164,                 1.6998,                0.94675,                0.81768,                0.90657,                  0.801,                  1.131,                0.61061,                 1.4778,             0.00047404,             0.00047404,             0.00047404
                    147,                0.99138,                0.81007,                 1.6961,                0.88587,                0.80507,                0.90291,                0.79398,                 1.1371,                0.67697,                 1.4744,             0.00047104,             0.00047104,             0.00047104
                    148,                0.94823,                0.77599,                 1.6903,                0.95807,                0.82608,                0.91235,                 0.8095,                  1.154,                0.61051,                 1.4773,             0.00046804,             0.00046804,             0.00046804
                    149,                0.98814,                0.76548,                 1.6993,                0.95357,                0.83764,                 0.9134,                0.80723,                 1.1418,                0.60292,                 1.4801,             0.00046504,             0.00046504,             0.00046504
                    150,                0.97305,                0.73632,                 1.6994,                0.91941,                0.81747,                0.90549,                0.79508,                 1.1587,                0.69489,                 1.4731,             0.00046204,             0.00046204,             0.00046204
